Город,Численность населения,Страна
Новогрудок,"29,20",Белоруссия
Гунжур,"14,65",Гамбия
Кафр-эд-Даввар,"97,20",Египет
Анкона,"101,61",Италия
Книттельфельд,"11,99",Австрия
Братск,"250,00",Россия
Гомель,"484,30",Белоруссия
Киселёвск,"104,00",Россия
Муром,"117,00",Россия
Кэрнс,"135,86",Австралия
Бешар,"157,43",Алжир
Саншайн-Кост,"230,43",Австралия
Кёрфез,"130,64",Турция
Эль-Ханка,"63,60",Египет
Назрань,"139,00",Россия
Мархтренк,"11,74",Австрия
Суаньи,"77,21",Бельгия
Вологда,"286,00",Россия
Султанбейли,"291,29",Турция
Манфалут,"89,63",Египет
Штоккерау,"15,16",Австрия
Форли,"115,51",Италия
Тейма,"70,93",Египет
Сиирт,"127,33",Турция
Дюссельдорф,"584,22",Германия
Мостолес,"204,46",Испания
Димитровград,"127,50",Россия
Намюр,"21,96",Бельгия
Эсеньюрт,"410,72",Турция
Дерби,"236,30",Англия
Королёв,"176,00",Россия
Бонн,"317,95",Германия
Курск,"414,00",Россия
Бассе-Санта-Су,"15,34",Гамбия
Барика,"114,55",Алжир
Дубровно,"8,00",Белоруссия
Якутск,"268,00",Россия
Ростов-на-Дону,"1048,00",Россия
Томск,"509,00",Россия
Орёл,"317,00",Россия
Брянск,"409,00",Россия
Абу Тишт,"13,98",Египет
Орехово-Зуево,"121,00",Россия
Маасейк,"14,50",Бельгия
Тарсус,"227,02",Турция
Вальядолид,"321,00",Испания
Личфилд,"31,00",Англия
Браунау-на-Инне,"16,33",Австрия
Лугано,"54,44",Швейцария
Думьят,"299,93",Египет
Эль-Эльма,"139,81",Алжир
Гмунден,"13,19",Австрия
Вулвергемптон,"236,00",Англия
Пятигорск,"143,00",Россия
Фёлькермаркт,"11,43",Австрия
Армант,"80,96",Египет
Эль-Мансура,"480,49",Египет
Вервье,"11,83",Бельгия
Северодвинск,"187,00",Россия
Кировск,"8,80",Белоруссия
Грозный,"251,00",Россия
Тверь,"410,00",Россия
Габес,"116,32",Тунис
Гент,"28,32",Бельгия
Санкт-Галлен,"72,04",Швейцария
Коссово,"2,00",Белоруссия
Ноябрьск,"111,00",Россия
Ранквайль,"11,63",Австрия
Жабинка,"13,10",Белоруссия
Ивацевичи,"23,00",Белоруссия
Киров,"464,00",Россия
Бирзеббуджа,"8,67",Мальта
Мехелен,"78,27",Бельгия
Манчестер,"458,10",Англия
Сома,"10,14",Гамбия
Тамбов,"278,00",Россия
Эль-Фашн,"71,25",Египет
Суики,"8,10",Мальта
Березино,"12,00",Белоруссия
Абнуб,"71,87",Египет
Сиверек,"102,86",Турция
Саида,"136,86",Алжир
Тебесса,"203,92",Алжир
Руселаре,"26,54",Бельгия
Ньюпорт,"140,20",Уэльс
Владимир,"338,00",Россия
Джульяно-ин-Кампанья,"113,76",Италия
Токат,"121,00",Турция
Дуйсбург,"494,05",Германия
Константина,"507,22",Алжир
Виго,"293,73",Испания
Эль-Манзала,"80,19",Египет
Лонсестон,"104,07",Австралия
Арнавуткёй,"171,52",Турция
Хобарт,"207,47",Австралия
Прокопьевск,"211,00",Россия
Тольятти,"722,00",Россия
Мессад,"114,63",Алжир
Инсбрук,"117,69",Австрия
Ауденарде,"28,52",Бельгия
Филипвиль,"8,32",Бельгия
Эль-Ваха-эль-Бахария,"11,18",Египет
Зальцбург,"149,02",Австрия
Брайтон и Хоув,"253,50",Англия
